station_id,station_name,latitude,longitude,empty_slots,free_bikes,timestamp,station_uid,renting,returning,last_updated
f76539c6f7db1b1ae75de42e9bea2e23,Bibliotheekstraat 1,51.0571073,3.7286481,4,2,2024-04-18 00:29:31.332000+00:00,12028,1,1,1713387093
32a39e2eafdfec534f7e1464f3a2709b,Stapelplein 31,51.0642826,3.7339905,6,0,2024-04-18 00:29:31.194000+00:00,12079,1,1,1713383424
8ccb9e87988d980a65b293559465106c,Ham 1,51.0570081,3.7329869,4,2,2024-04-18 00:29:30.965000+00:00,12027,1,1,1713281250
c7a33e9048543382212a9902050c99b9,Kleindokkaai zuid,51.0575622,3.7391434,3,2,2024-04-18 00:29:31.346000+00:00,12116,1,1,1713377615
128976b8ab791b64fb935e7861d30fcd,Kongostraat 7,51.0606404,3.7310502,2,1,2024-04-18 00:29:30.635000+00:00,16695,1,1,1713295382
3fa0fc23273ba6b0e9715ee6d1c6bfe9,schommelstraat 46,51.0642746,3.7074351,3,0,2024-04-18 00:29:31.334000+00:00,23926,1,1,1713387438
2f01326108355b3313a566408746fca6,Goudenleeuwplein 1,51.0539409,3.7251371,1,5,2024-04-18 00:29:31.314000+00:00,12025,1,1,1713361501
bfeab016f261b5c8b8e16dcc4fdb8ae8,Denise de weerdtpad,51.0643085,3.7316159,3,0,2024-04-18 00:29:30.547000+00:00,27879,1,1,1713383170
62c4fbd3bd3bd67fc308fc6215b9056a,Noorderlaan 10,51.0497677,3.6921909,3,0,2024-04-18 00:29:30.617000+00:00,14399,1,1,1713047313
0f070dedd2e6f89d15f5180d5e77fbd3,Jenny Montignypad,51.0537055,3.6911578,3,0,2024-04-18 00:29:31.253000+00:00,28483,1,1,1713358022
7b50c5e11ea7806c5acd67faec766831,Delhaize Watersportbaan,51.0477213,3.7075371,1,2,2024-04-18 00:29:31.255000+00:00,28482,1,1,1713389694
4b7cf8dd3184bac628596bb96541be2b,Lily Boeykensstraat,51.0537679,3.6880481,3,1,2024-04-18 00:29:31.267000+00:00,28484,1,1,1713362073
3007da6e68ee6d7666da692c8c7d672d,Elfnovemberlaan,51.0729584,3.6764147,2,1,2024-04-18 00:29:30.370000+00:00,28486,1,1,1712750410
9545faef8f05f1e04c1c3fe863d8f866,Mauriceclaeysplein,51.0720396,3.6805406,1,2,2024-04-18 00:29:30.371000+00:00,28485,1,1,1713154644
94badc4fa879e5966fd0a2261d057c4d,Schaverdijnstraat 43,51.0564994,3.6932704,3,0,2024-04-18 00:29:30.912000+00:00,13219,1,1,1713042542
4a2da4a9a871d905c90dd01a19a30362,Curcuskerk Malem,51.0524697,3.694065,2,1,2024-04-18 00:29:31.264000+00:00,28487,1,1,1713352931
38cdb34cfc82a1860bab64a1f78149bc,Van Peenestraat 2,51.0747188,3.701488,2,1,2024-04-18 00:29:31.269000+00:00,28488,1,1,1713359725
60bbbc2774116b2faaa9f7a8357fc35f,Pannestraat 1,51.0629757,3.7039096,2,0,2024-04-18 00:29:31.388000+00:00,12416,1,1,1713213725
