station_id,bars,museums,restaurants
1f7e478c3787e14b5f4ca1f1f831a3c1,11.0,0.0,26.0
1fcaa8749188138a506a8e3aa212814e,50.0,4.0,50.0
1fd680ff48ed74e28e852392f5960c12,29.0,10.0,35.0
21427543e2b9bc804d0371739e92659f,50.0,19.0,50.0
218ecf89b7207d4afc4b1bff57a62b39,50.0,19.0,50.0
219e8731373e3b8bab74900980345ac8,50.0,9.0,50.0
2305bf148ac27c0077186f3cf4c0ffbb,50.0,21.0,50.0
231ee9c34523272a9d7971b2605178d3,50.0,19.0,50.0
2412de399716b248629d2578c30d0b70,23.0,1.0,33.0
2459061a75c4d843bac38e5962b579e4,11.0,0.0,15.0
24638b3101e7b7ff2adb4eab64b77760,50.0,21.0,50.0
24679ae65b0980fd9303ac53387c85a7,50.0,4.0,48.0
2484843caa7b9663cbcd8fe8025e3fda,50.0,8.0,50.0
24c24e616d1161659636c7661f7a1f7d,50.0,3.0,45.0
24df364027761819cd8c0c60da946a78,39.0,5.0,50.0
256b6464a04ba858d8a5122607eba8c0,50.0,2.0,50.0
25a130c9cfae8ee8b39a38d3c4698175,46.0,2.0,50.0
25b9117c7543fb5fbb32dc2ff13e0d99,36.0,5.0,38.0
26635f05b6e0328057285ea43d844363,33.0,5.0,50.0
2786355796d2e4120c175fa439794ae9,33.0,3.0,50.0
2977b85d6a3a572ce86d1376fc62048f,50.0,17.0,50.0
2a2ea60ba5d2b374589dcfab27a2160e,24.0,8.0,40.0
2b4f9b13dd287d944a25e400eb144f1b,50.0,5.0,50.0
2b94135a7fddb4b8c6366f96b72b52be,50.0,19.0,50.0
2ba7e8a05a2242ef8d66f88b8d1c70b4,19.0,2.0,32.0
2c71223d86e73df9207c3fbe5b81a1d6,50.0,17.0,50.0
2caa169946b51c132094aa06e634fcad,50.0,14.0,50.0
2cb5d3963cc48e401f45182fca80e7cc,49.0,10.0,50.0
2d4da9415d0cdf0f996765ddd637942f,29.0,0.0,39.0
2e473d24c0be215bec2cb51d9755a574,50.0,4.0,50.0
