station_id,station_name,latitude,longitude,empty_slots,free_bikes,e_bikes,timestamp,station_uid,station_number,station_online_status
5d4ebcbe22e77520d054c3915ddefb3f,GAUHAR MAHAL ,23.25491,77.397813,0,11,0,2024-04-17 00:16:33.715000+00:00,197,9884,True
5faa14a47e9dd3342c8e79e2a9616540,LALGHATI SQUARE (VIP ROAD),23.272521,77.369707,1,5,0,2024-04-17 00:16:33.712000+00:00,200,9887,True
a748becdae11d07955159552c1ea94ef,AIIMS 1 (Trauma Center),23.210242,77.456433,1,5,0,2024-04-17 00:16:33.726000+00:00,206,9893,True
563920e0864a4a55f45eca208a23ed46,BAIRAGARH POLICE STATION,23.272229,77.341134,0,3,1,2024-04-17 00:16:33.725000+00:00,201,9888,True
2f6a6543d66b6f9db9861eed898e856f,ADITYA AVENUE ,23.286264,77.354467,0,6,0,2024-04-17 00:16:33.724000+00:00,202,9889,True
2402e44d882d0c75e247265430587341,AIIMS 2 (NURSING HOTEL),23.205616,77.460985,1,5,0,2024-04-17 00:16:33.728000+00:00,207,9894,True
1963bb2716298c99b134c17283d62834,SAIR SAPATA,23.216699,77.376212,1,9,0,2024-04-17 00:16:33.729000+00:00,79,9827,True
f724389651392c750199500952f05138,VINDYACHAL BHAWAN,23.237441,77.421214,2,4,0,2024-04-17 00:16:33.729000+00:00,91,9839,True
c389846553dcc6b9b602013f95f8e358,CHARTERED BIKE WORKSHOP BHOPAL,23.228904,77.444074,505,25,0,2024-04-17 00:16:33.727000+00:00,196,10002,True
2f0a334807e8b641d793af1412c42210,LINK ROAD 1,23.23384,77.409226,3,3,0,2024-04-17 00:16:33.641000+00:00,103,10054,True
